日期,星期,最高气温,最低气温,天气,风向,风力
2022-02-15,星期二,15,6,雾,东北风,3级
2022-02-16,星期三,11,5,雾,东北风,1级
2022-02-17,星期四,7,4,中雨,北风,1级
2022-02-18,星期五,7,6,小雨,西北风,1级
2022-02-19,星期六,8,3,多云,西北风,1级
2022-02-20,星期日,7,1,多云,西风,2级
2022-02-21,星期一,7,3,多云,东北风,1级
2022-02-22,星期二,8,3,阴,北风,1级
2022-02-23,星期三,6,1,小雨,北风,1级
2022-02-24,星期四,13,3,多云,东北风,1级
2022-02-25,星期五,15,6,阴,东风,1级
2022-02-26,星期六,20,7,多云,东风,1级
2022-02-27,星期日,19,7,多云,东南风,1级
2022-02-28,星期一,24,11,多云,东南风,1级
2022-03-01,星期二,14,9,小雨,东南风,1级
2022-03-02,星期三,15,8,阴,东南风,2级
2022-03-03,星期四,22,10,阴,东南风,1级
2022-03-04,星期五,22,12,多云,东风,2级
2022-03-05,星期六,15,8,阴,东南风,2级
2022-03-06,星期日,11,6,小雨,东风,2级
2022-03-07,星期一,16,3,晴,西北风,1级
2022-03-08,星期二,20,4,晴,东南风,1级
2022-03-09,星期三,19,9,晴,东南风,1级
2022-03-10,星期四,22,10,多云,西北风,1级
2022-03-11,星期五,22,13,多云,东北风,2级
2022-03-12,星期六,22,14,多云,东南风,1级
2022-03-13,星期日,27,17,晴,东风,1级
2022-03-14,星期一,26,16,中雨到大雨,东北风,1级
2022-03-15,星期二,24,15,晴,东南风,1级
2022-03-16,星期三,25,16,多云,东南风,1级
2022-03-17,星期四,24,15,阴,西北风,1级
2022-03-18,星期五,22,14,多云,东风,1级
2022-03-19,星期六,19,11,多云,东风,1级
2022-03-20,星期日,14,12,多云,东风,1级
2022-03-21,星期一,14,10,小雨到中雨,东南风,1级
2022-03-22,星期二,12,8,多云,东风,1级
2022-03-23,星期三,16,8,多云,东南风,1级
2022-03-24,星期四,17,10,阴,东南风,1级
2022-03-25,星期五,19,13,小雨到中雨,南风,2级
2022-03-26,星期六,22,13,小雨到中雨,北风,1级
2022-03-27,星期日,13,4,多云,南风,1级
2022-03-28,星期一,17,7,晴,东南风,2级
2022-03-29,星期二,19,12,多云,东南风,1级
2022-03-30,星期三,23,15,多云,东风,1级
2022-03-31,星期四,18,11,多云,北风,1级
2022-04-01,星期五,14,8,小雨,西北风,1级
2022-04-02,星期六,17,7,多云,东风,1级
2022-04-03,星期日,18,8,晴,东北风,1级
2022-04-04,星期一,16,8,晴,东风,1级
2022-04-05,星期二,21,11,多云,东北风,1级
2022-04-06,星期三,24,12,多云,东南风,2级
2022-04-07,星期四,25,12,晴,东风,1级
2022-04-08,星期五,26,10,晴,东南风,1级
2022-04-09,星期六,23,15,晴,东南风,1级
2022-04-10,星期日,27,18,多云,东南风,1级
2022-04-11,星期一,31,19,多云,东南风,1级
2022-04-12,星期二,29,20,多云,东南风,1级
2022-04-13,星期三,26,20,阴,西北风,1级
2022-04-14,星期四,24,16,多云,西北风,2级
2022-04-15,星期五,22,14,多云,东北风,3级
2022-04-16,星期六,17,11,多云,北风,1级
2022-04-17,星期日,18,14,多云,东南风,1级
2022-04-18,星期一,19,12,多云,东北风,1级
2022-04-19,星期二,25,11,阴,东南风,1级
2022-04-20,星期三,23,13,小雨,东南风,2级
2022-04-21,星期四,26,15,多云,东南风,1级
2022-04-22,星期五,25,18,小雨到中雨,西南风,1级
2022-04-23,星期六,27,19,小雨,东风,1级
2022-04-24,星期日,26,19,阴,东南风,1级
2022-04-25,星期一,30,21,小雨到中雨,南风,1级
2022-04-26,星期二,29,20,小雨,东风,1级
2022-04-27,星期三,25,18,多云,东南风,1级
2022-04-28,星期四,24,17,多云,南风,1级
2022-04-29,星期五,20,13,多云,北风,3级
2022-04-30,星期六,16,14,小雨到中雨,东北风,1级
2022-05-01,星期日,20,13,小雨,西南风,1级
2022-05-02,星期一,24,12,多云,东南风,1级
2022-05-03,星期二,25,11,多云,东北风,1级
2022-05-04,星期三,25,15,多云,东风,1级
2022-05-05,星期四,26,17,多云,东风,1级
2022-05-06,星期五,28,18,多云,东南风,1级
2022-05-07,星期六,28,19,多云,东风,1级
2022-05-08,星期日,25,18,多云,东南风,1级
2022-05-09,星期一,21,18,多云,东南风,1级
2022-05-10,星期二,22,17,小雨到中雨,北风,1级
2022-05-11,星期三,24,18,多云,南风,1级
2022-05-12,星期四,19,17,小雨到中雨,东风,1级
2022-05-13,星期五,23,17,阴,北风,1级
2022-05-14,星期六,21,16,多云,东北风,2级
2022-05-15,星期日,25,15,晴,西北风,1级
2022-05-16,星期一,19,12,多云,西北风,1级
2022-05-17,星期二,30,16,多云,西南风,2级
2022-05-18,星期三,26,15,多云,东风,1级
2022-05-19,星期四,23,18,多云,东北风,1级
2022-05-20,星期五,25,19,多云,东风,1级
2022-05-21,星期六,23,15,多云,东南风,1级
2022-05-22,星期日,22,18,小雨,南风,2级
2022-05-23,星期一,19,18,阴,北风,1级
2022-05-24,星期二,24,18,多云,东南风,1级
2022-05-25,星期三,26,19,多云,东风,1级
2022-05-26,星期四,21,16,多云,东南风,1级
2022-05-27,星期五,27,18,小雨,西南风,1级
2022-05-28,星期六,22,18,多云,西风,1级
2022-05-29,星期日,31,21,多云,西北风,1级
2022-05-30,星期一,29,22,多云,西南风,1级
2022-05-31,星期二,24,19,小雨到中雨,南风,1级
2022-06-01,星期三,27,21,小雨到中雨,东风,1级
2022-06-02,星期四,25,21,小雨到中雨,东南风,1级
2022-06-03,星期五,26,21,阴,东南风,1级
2022-06-04,星期六,28,23,多云,南风,1级
2022-06-05,星期日,32,23,小雨到中雨,东风,1级
2022-06-06,星期一,33,20,多云,南风,1级
2022-06-07,星期二,31,21,多云,东南风,1级
2022-06-08,星期三,28,19,多云,西南风,1级
2022-06-09,星期四,25,19,小雨,东南风,1级
2022-06-10,星期五,22,19,小雨到中雨,西风,1级
2022-06-11,星期六,23,13,阴,东风,1级
2022-06-12,星期日,22,20,多云,东南风,0级
2022-06-13,星期一,25,20,多云,西北风,1级
2022-06-14,星期二,27,19,多云,东南风,1级
2022-06-15,星期三,29,20,阴,东风,1级
2022-06-16,星期四,31,21,阴,东风,1级
2022-06-17,星期五,27,21,小雨,西风,1级
2022-06-18,星期六,26,22,多云,西南风,2级
2022-06-19,星期日,28,23,小雨,北风,1级
2022-06-20,星期一,26,23,阴,西南风,2级
2022-06-21,星期二,30,23,阴,西风,1级
2022-06-22,星期三,32,24,多云,西风,1级
2022-06-23,星期四,34,25,多云,东南风,1级
2022-06-24,星期五,36,26,阴,东北风,2级
2022-06-25,星期六,34,25,多云,东南风,1级
2022-06-26,星期日,33,25,多云,东南风,1级
2022-06-27,星期一,33,26,多云,东南风,1级
2022-06-28,星期二,34,26,多云,东南风,1级
2022-06-29,星期三,33,26,多云,东南风,1级
2022-06-30,星期四,31,24,多云,东风,1级
2022-07-01,星期五,31,23,多云,东风,1级
2022-07-02,星期六,31,24,多云,南风,1级
2022-07-03,星期日,32,27,多云,东北风,1级
2022-07-04,星期一,34,26,多云,东南风,1级
2022-07-05,星期二,35,26,多云,南风,1级
2022-07-06,星期三,34,25,晴,东南风,1级
2022-07-07,星期四,35,27,晴,南风,1级
2022-07-08,星期五,37,27,多云,北风,1级
2022-07-09,星期六,37,27,多云,北风,1级
2022-07-10,星期日,38,27,多云,东南风,1级
2022-07-11,星期一,38,28,多云,北风,1级
2022-07-12,星期二,37,27,多云,东南风,1级
2022-07-13,星期三,37,26,多云,东南风,1级
2022-07-14,星期四,37,26,多云,南风,1级
2022-07-15,星期五,38,28,多云,西南风,1级
2022-07-16,星期六,37,27,多云,南风,1级
2022-07-17,星期日,37,27,多云,西风,2级
2022-07-18,星期一,33,26,多云,西北风,1级
2022-07-19,星期二,36,25,多云,东南风,1级
2022-07-20,星期三,37,27,多云,东南风,1级
2022-07-21,星期四,38,28,多云,西风,1级
2022-07-22,星期五,38,27,多云,南风,1级
2022-07-23,星期六,39,28,晴,东风,1级
2022-07-24,星期日,39,29,晴,东风,2级
2022-07-25,星期一,38,28,多云,西风,1级
2022-07-26,星期二,37,26,多云,东南风,1级
2022-07-27,星期三,37,28,晴,西北风,1级
2022-07-28,星期四,36,26,晴,东风,1级
2022-07-29,星期五,36,27,多云,西北风,1级
2022-07-30,星期六,36,26,多云,西风,1级
2022-07-31,星期日,36,26,多云,东北风,2级
2022-08-01,星期一,36,26,多云,东北风,2级
2022-08-02,星期二,33,24,中雨,东南风,2级
2022-08-03,星期三,34,26,多云,南风,1级
2022-08-04,星期四,35,26,多云,东南风,1级
2022-08-05,星期五,37,27,多云,南风,1级
2022-08-06,星期六,37,24,小雨,西北风,1级
2022-08-07,星期日,35,24,多云,南风,1级
2022-08-08,星期一,35,26,多云,东南风,2级
2022-08-09,星期二,35,27,多云,东南风,1级
2022-08-10,星期三,36,27,晴,南风,1级
2022-08-11,星期四,36,26,多云,东风,1级
2022-08-12,星期五,37,26,晴,东南风,1级
2022-08-13,星期六,36,26,晴,西南风,1级
2022-08-14,星期日,36,26,多云,东南风,1级
2022-08-15,星期一,36,27,多云,东南风,1级
2022-08-16,星期二,37,26,多云,东南风,1级
2022-08-17,星期三,37,26,多云,东南风,1级
2022-08-18,星期四,36,27,晴,东南风,1级
2022-08-19,星期五,37,28,多云,南风,1级
2022-08-20,星期六,40,28,多云,东南风,1级
2022-08-21,星期日,40,28,多云,东南风,2级
2022-08-22,星期一,39,26,晴,东风,1级
2022-08-23,星期二,38,26,多云,东南风,1级
2022-08-24,星期三,36,27,多云,东风,1级
2022-08-25,星期四,38,26,多云,南风,2级
2022-08-26,星期五,39,26,大雨,西南风,1级
2022-08-27,星期六,35,25,小雨,东北风,1级
2022-08-28,星期日,30,25,小雨,东风,3级
2022-08-29,星期一,34,26,多云,东南风,1级
2022-08-30,星期二,36,25,多云,东南风,2级
2022-08-31,星期三,31,25,中雨,北风,2级
2022-10-01,星期六,33,23,多云,东南风,1级
2022-10-02,星期日,34,24,多云,南风,1级
2022-10-03,星期一,35,22,多云,南风,1级
2022-10-04,星期二,34,21,多云,东北风,1级
2022-10-05,星期三,26,21,多云,东风,1级
2022-10-06,星期四,24,19,多云,东风,1级
2022-10-07,星期五,21,18,小雨,西北风,1级
2022-10-08,星期六,19,17,多云,东北风,1级
2022-10-09,星期日,27,14,多云,西北风,1级
2022-10-10,星期一,25,9,多云,北风,1级
2022-10-11,星期二,24,16,多云,西北风,1级
2022-10-12,星期三,25,15,晴,西北风,1级
2022-10-13,星期四,27,17,多云,东北风,3级
2022-10-14,星期五,29,19,多云,北风,1级
2022-10-15,星期六,29,19,多云,西北风,1级
2022-10-16,星期日,26,18,多云,西北风,1级
2022-10-17,星期一,23,14,多云,北风,2级
2022-10-18,星期二,23,14,晴,北风,1级
2022-10-19,星期三,25,14,晴,东北风,1级
2022-10-20,星期四,25,17,多云,北风,1级
2022-10-21,星期五,29,17,多云,西北风,1级
2022-10-22,星期六,31,18,多云,西北风,1级
2022-10-23,星期日,29,15,晴,东北风,1级
2022-10-24,星期一,26,14,多云,东北风,1级
2022-10-25,星期二,24,16,多云,东北风,1级
2022-10-26,星期三,24,18,阴,北风,1级
2022-10-27,星期四,26,19,小雨,北风,2级
2022-10-28,星期五,21,19,多云,北风,1级
2022-10-29,星期六,26,14,多云,北风,1级
2022-10-30,星期日,26,19,多云,北风,1级
2022-10-31,星期一,23,16,小雨,北风,1级
2022-11-01,星期二,21,15,多云,东北风,2级
2022-11-02,星期三,17,16,中雨,西北风,1级
2022-11-03,星期四,19,15,中雨,东风,2级
2022-11-04,星期五,20,12,多云,东北风,1级
2022-11-05,星期六,19,13,多云,东北风,1级
2022-11-06,星期日,20,13,小雨,西北风,1级
2022-11-07,星期一,24,13,晴,北风,1级
2022-11-08,星期二,26,15,雾,东南风,1级
2022-11-09,星期三,24,17,多云,东北风,1级
2022-11-10,星期四,27,19,雾,南风,1级
2022-11-11,星期五,27,18,雾,东北风,1级
2022-11-12,星期六,30,19,雾,东南风,1级
2022-11-13,星期日,22,17,小雨,南风,2级
2022-11-14,星期一,17,15,雾,南风,1级
2022-11-15,星期二,17,15,小雨,东风,1级
2022-11-16,星期三,19,15,小雨,东南风,1级
2022-11-17,星期四,24,16,多云,西北风,2级
2022-11-18,星期五,26,17,多云,东南风,1级
2022-11-19,星期六,20,16,小雨,北风,1级
2022-11-20,星期日,23,16,小雨,东南风,1级
2022-11-21,星期一,21,16,雾,北风,2级
2022-11-22,星期二,19,17,中雨,北风,1级
2022-11-23,星期三,20,15,小雨,北风,1级
2022-11-24,星期四,18,17,多云,东北风,1级
2022-11-25,星期五,18,17,多云,西北风,1级
2022-11-26,星期六,25,13,多云,南风,1级
2022-11-27,星期日,19,15,阴,北风,1级
2022-11-28,星期一,19,17,中雨,西北风,1级
2022-11-29,星期二,20,8,大雨,北风,1级
2022-11-30,星期三,10,5,小雨,东北风,1级
2022-12-01,星期四,8,4,小雨,北风,1级
2022-12-02,星期五,12,5,小雨,西风,1级
2022-12-03,星期六,14,10,小雨,西北风,2级
2022-12-04,星期日,13,9,小雨,西北风,1级
2022-12-05,星期一,11,8,小雨,西北风,1级
2022-12-06,星期二,14,10,多云,东北风,2级
2022-12-07,星期三,15,8,雾,北风,1级
2022-12-08,星期四,20,12,多云,北风,2级
2022-12-09,星期五,15,10,多云,北风,2级
2022-12-10,星期六,21,12,雾,西北风,1级
2022-12-11,星期日,13,10,多云,北风,2级
2022-12-12,星期一,15,2,多云,西北风,1级
2022-12-13,星期二,15,10,多云,东北风,2级
2022-12-14,星期三,11,7,多云,西北风,1级
2022-12-15,星期四,11,10,多云,西南风,1级
2022-12-16,星期五,11,8,小雨,北风,1级
2022-12-17,星期六,7,-2,多云,西北风,1级
2022-12-18,星期日,10,-3,晴,南风,1级
2022-12-19,星期一,12,3,晴,东风,2级
2022-12-20,星期二,14,7,多云,西北风,2级
2022-12-21,星期三,17,1,晴,西北风,2级
2022-12-22,星期四,18,0,晴,北风,1级
2022-12-23,星期五,13,-1,晴,南风,1级
2022-12-24,星期六,15,-2,晴,东北风,1级
2022-12-25,星期日,13,-1,晴,东北风,1级
2022-12-26,星期一,14,1,晴,西南风,2级
2022-12-27,星期二,11,5,雾,东北风,1级
2022-12-28,星期三,12,5,多云,北风,1级
2022-12-29,星期四,9,6,雾,西北风,1级
2022-12-30,星期五,10,2,多云,北风,2级
2022-12-31,星期六,13,6,多云,东北风,2级
